Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Fruit,Category,Item,Metric,Value,CV (%),Use,Name,Code
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN LB,999,999,(D),999,FUNGICIDE,OXATHIAPIPROLIN,128111
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN LB,999,999,(D),999,INSECTICIDE,CYCLANILIPROLE,26202
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN LB,999,999,(D),999,INSECTICIDE,PERMETHRIN,109701
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / APPLICATION,AVG,999,(D),999,FUNGICIDE,OXATHIAPIPROLIN,128111
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / APPLICATION,AVG,999,(D),999,INSECTICIDE,CYCLANILIPROLE,26202
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / APPLICATION,AVG,999,(D),999,INSECTICIDE,PERMETHRIN,109701
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / YEAR,AVG,999,(D),999,FUNGICIDE,OXATHIAPIPROLIN,128111
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / YEAR,AVG,999,(D),999,INSECTICIDE,CYCLANILIPROLE,26202
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / YEAR,AVG,999,(D),999,INSECTICIDE,PERMETHRIN,109701
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN NUMBER,AVG,999,(D),999,FUNGICIDE,OXATHIAPIPROLIN,128111
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN NUMBER,AVG,999,(D),999,INSECTICIDE,CYCLANILIPROLE,26202
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - APPLICATIONS,MEASURED IN NUMBER,AVG,999,(D),999,INSECTICIDE,PERMETHRIN,109701
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - TREATED,MEASURED IN PCT OF AREA BEARING,AVG,999,(D),999,FUNGICIDE,OXATHIAPIPROLIN,128111
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - TREATED,MEASURED IN PCT OF AREA BEARING,AVG,999,(D),999,INSECTICIDE,CYCLANILIPROLE,26202
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES - TREATED,MEASURED IN PCT OF AREA BEARING,AVG,999,(D),999,INSECTICIDE,PERMETHRIN,109701
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"3,300",999,FUNGICIDE,AZOXYSTROBIN,128810
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,(NA),999,FUNGICIDE,BACILLUS AMYLOLIQUEFACIENS STRAIN D747,747
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,(NA),999,FUNGICIDE,BACILLUS SUBTILIS,6479
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,(D),999,FUNGICIDE,BLAD,30006
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"2,800",999,FUNGICIDE,BORAX DECAHYDRATE,11102
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"6,600",999,FUNGICIDE,BOSCALID,128008
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,(NA),999,FUNGICIDE,BT SUBSP KURSTAKI EVB-113-19,113
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"603,100",999,FUNGICIDE,CAPTAN,81301
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,(D),999,FUNGICIDE,CYFLUFENAMID,555550
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"30,300",999,FUNGICIDE,CYPRODINIL,288202
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,(D),999,FUNGICIDE,DIFENOCONAZOLE,128847
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"8,600",999,FUNGICIDE,FENHEXAMID,90209
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"22,400",999,FUNGICIDE,FLUDIOXONIL,71503
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"14,600",999,FUNGICIDE,FLUOPYRAM,80302
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"7,100",999,FUNGICIDE,FLUXAPYROXAD,138009
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,(D),999,FUNGICIDE,FOSETYL-AL,123301
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,(D),999,FUNGICIDE,ISOFETAMID,270000
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"7,200",999,FUNGICIDE,MEFENOXAM,113502
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,(D),999,FUNGICIDE,MONO-POTASSIUM SALT,76416
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"10,800",999,FUNGICIDE,MYCLOBUTANIL,128857
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"4,000",999,FUNGICIDE,PENTHIOPYRAD,90112
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"3,300",999,FUNGICIDE,POLYOXIN D ZINC SALT,230000
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"2,300",999,FUNGICIDE,PROPICONAZOLE,122101
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,(D),999,FUNGICIDE,PYDIFLUMETOFEN,90110
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"10,600",999,FUNGICIDE,PYRACLOSTROBIN,99100
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"8,300",999,FUNGICIDE,PYRIMETHANIL,288201
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"3,600",999,FUNGICIDE,QUINOLINE,55459
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"1,258,100",999,FUNGICIDE,SULFUR,77501
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"1,300",999,FUNGICIDE,TETRACONAZOLE,120603
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,999,999,999,999,STRAWBERRIES,BEARING - APPLICATIONS,MEASURED IN LB,999,"10,600",999,FUNGICIDE,THIOPHANATE-METHYL,102001
