Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Fruit,Category,Item,Metric,Value,CV (%),Use,Name,Code
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,NA,NA,NA,NA,STRAWBERRIES - APPLICATIONS,MEASURED IN LB,NA,NA,(D),NA,FUNGICIDE,OXATHIAPIPROLIN,128111
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,NA,NA,NA,NA,STRAWBERRIES - APPLICATIONS,MEASURED IN LB,NA,NA,(D),NA,INSECTICIDE,CYCLANILIPROLE,26202
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,NA,NA,NA,NA,STRAWBERRIES - APPLICATIONS,MEASURED IN LB,NA,NA,(D),NA,INSECTICIDE,PERMETHRIN,109701
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,NA,NA,NA,NA,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / APPLICATION,AVG,NA,(D),NA,FUNGICIDE,OXATHIAPIPROLIN,128111
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,NA,NA,NA,NA,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / APPLICATION,AVG,NA,(D),NA,INSECTICIDE,CYCLANILIPROLE,26202
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,NA,NA,NA,NA,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / APPLICATION,AVG,NA,(D),NA,INSECTICIDE,PERMETHRIN,109701
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,NA,NA,NA,NA,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / YEAR,AVG,NA,(D),NA,FUNGICIDE,OXATHIAPIPROLIN,128111
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,NA,NA,NA,NA,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / YEAR,AVG,NA,(D),NA,INSECTICIDE,CYCLANILIPROLE,26202
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,NA,NA,NA,NA,STRAWBERRIES - APPLICATIONS,MEASURED IN LB / ACRE / YEAR,AVG,NA,(D),NA,INSECTICIDE,PERMETHRIN,109701
SURVEY,2023,YEAR,STATE,CALIFORNIA,06,NA,NA,NA,NA,STRAWBERRIES - APPLICATIONS,MEASURED IN NUMBER,AVG,NA,(D),NA,FUNGICIDE,OXATHIAPIPROLIN,128111
