"Program","Year","Geo.Level","State","County","Region","Crop","Measurement","Type","Value"
"CENSUS",2022,"COUNTY","ALABAMA","BULLOCK",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","BULLOCK",NA,"STRAWBERRIES","ACRES GROWN",NA,3
"CENSUS",2022,"COUNTY","ALABAMA","BULLOCK",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","BULLOCK",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","BULLOCK",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,6
"CENSUS",2022,"COUNTY","ALABAMA","BULLOCK",NA,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,5
"CENSUS",2022,"COUNTY","ALABAMA","MONTGOMERY",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","MONTGOMERY",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","MONTGOMERY",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","MONTGOMERY",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","SUMTER",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","SUMTER",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","SUMTER",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","SUMTER",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,2
"CENSUS",2022,"COUNTY","ALABAMA","CONECUH",NA,"STRAWBERRIES","ACRES BEARING",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","CONECUH",NA,"STRAWBERRIES","ACRES GROWN",NA,1
"CENSUS",2022,"COUNTY","ALABAMA","CONECUH",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,6
"CENSUS",2022,"COUNTY","ALABAMA","CONECUH",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,6
"CENSUS",2022,"COUNTY","ALABAMA","MOBILE",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","MOBILE",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","MOBILE",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,3
"CENSUS",2022,"COUNTY","ALABAMA","MOBILE",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,3
"CENSUS",2022,"COUNTY","ALABAMA","BLOUNT",NA,"STRAWBERRIES","ACRES BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","BLOUNT",NA,"STRAWBERRIES","ACRES GROWN",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","BLOUNT",NA,"STRAWBERRIES","ACRES NON-BEARING",NA,NA
"CENSUS",2022,"COUNTY","ALABAMA","BLOUNT",NA,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,3
"CENSUS",2022,"COUNTY","ALABAMA","BLOUNT",NA,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,3
