Program,Year,Period,Week_Ending,Geo_Level,State,State_ANSI,Region,Commodity,Data_Item,Domain,Domain_Category,Value
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,6
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,TOTAL,NOT SPECIFIED,5
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,4
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,1
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,6
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,TOTAL,NOT SPECIFIED,3
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,01,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,3
